Protein ID,Annotation,# proteins in the group,# Unique peptides, P-Value HF:PG_Pyr,Fold change PG_Pyr/HF,Fold change HF/PG_Pyr, P-Value HF:PG_Pyr_Xyl:,Fold changePG_Pyr_Xyl/HF,Fold change HF/PG_Pyr_Xyl, P-Value HF:WT,Fold change WT/HF,Fold change HF/WT,P-Value PG_Pyr/PG_Pyr_Xyl,Fold change PG_Pyr_Xyl/ PG_Pyr,Fold change PG_Pyr/ PG_Pyr_Xyl,P-Value PG_Pyr:WT,Fold change WT/ PG_Pyr,Fold change PG_Pyr/WT,P-Value PG_Pyr_Xyl:WT,Fold change WT/ PG_Pyr_Xyl,Fold change PG_Pyr_Xyl/WT,HF1a,HF1b,HF1c,PG1-pyr,PG2-pyr,PG5-pyr,PG1-pyrXyl,PG2-pyrXyl,PG5-pyrXyl,WTa,WTb,WTc
U5M3E6,U5M3E6_ECOLI YegR OS=Escherichia coli C321.deltaA GN=yegR PE=4 SV=1,1,2,0.00000,0.0,133202899.638028,0.12558,0.0,225534.6,0.00031,3.0,0.3,0.37390,590.6,0.0,0.00000,403777216.0,0.0,0.10304,683661.9,0.0,1.31E+08,1.32E+08,1.37E+08,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.06E+08,1.00E+00,3.71E+08,3.64E+08,4.87E+08
U5M1R3,U5M1R3_ECOLI UPF0509 protein YciZ OS=Escherichia coli C321.deltaA GN=yciZ PE=3 SV=1,1,1,0.00000,0.0,693408633.885184,0.10532,0.0,946300.0,0.06866,0.0,1976857.1,0.37390,732.8,0.0,0.37390,350.8,0.0,0.93747,0.5,2.1,7.02E+08,7.18E+08,6.61E+08,1.00E+00,1.00E+00,1.00E+00,3.93E+08,1.00E+00,1.00E+00,4.32E+07,1.00E+00,1.00E+00
U5M5C6,"U5M5C6_ECOLI Exonuclease V (RecBCD complex), beta subunit OS=Escherichia coli C321.deltaA GN=recB PE=4 SV=1",1,1,0.00000,0.0,140688959.457375,0.00000,0.0,140688959.5,0.00000,0.0,140688959.457375,1.00000,1.0,1.0,1.00000,1.0,1.0,1.00000,1.0,1.0,1.61E+08,1.32E+08,1.31E+08,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
U5M6P1,U5M6P1_ECOLI 5-keto-4-deoxy-D-glucarate aldolase OS=Escherichia coli C321.deltaA GN=garL PE=3 SV=1,1,1,0.00000,58631108.0,0.0,0.11626,192696.7,0.0,1.00000,1.0,1.0,0.40102,0.0,304.3,0.00000,0.0,58631110.9,0.11626,0.0,192696.7,1.00E+00,1.00E+00,1.00E+00,4.86E+07,4.74E+07,8.75E+07,1.00E+00,5.95E+07,1.20E+08,1.00E+00,1.00E+00,1.00E+00
U5M6F8,"U5M6F8_ECOLI L-idonate 5-dehydrogenase, NAD-binding protein OS=Escherichia coli C321.deltaA GN=idnD PE=4 SV=1",1,1,0.00000,575446144,0.0,0.37390,294.0,0.0,1.00000,1.0,1.0,0.06377,0.0,1957504.0,0.00000,0.0,575446162.5,0.37390,0.0,294.0,1.00E+00,1.00E+00,1.00E+00,4.27E+08,1.25E+09,3.59E+08,2.54E+07,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
U5M4B2,U5M4B2_ECOLI L-rhamnonate dehydratase OS=Escherichia coli C321.deltaA GN=rhmD PE=3 SV=1,1,1,0.00000,41445516.0,0.0,0.11901,294838.2,0.0,0.00006,14988714.0,0.0,0.48128,0.0,140.6,0.36361,0.4,2.8,0.57432,50.8,0.0,1.00E+00,1.00E+00,1.00E+00,6.43E+07,5.63E+07,1.97E+07,1.00E+00,8.03E+08,3.19E+07,7.14E+06,9.33E+07,5.05E+06
U5LXL0,"U5LXL0_ECOLI Mechanosensitive channel protein, intermediate conductance OS=Escherichia coli C321.deltaA GN=ybiO PE=4 SV=1",1,1,0.00000,0.0,434889297.833771,0.00000,0.0,434889297.8,0.00000,0.0,434889297.833771,1.00000,1.0,1.0,1.00000,1.0,1.0,1.00000,1.0,1.0,8.48E+08,5.08E+08,1.91E+08,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
U5M0K9,"U5M0K9_ECOLI Deferrrochelatase, periplasmic OS=Escherichia coli C321.deltaA GN=efeB PE=4 SV=1",1,1,0.00000,323280928,0.0,0.11686,678580.4,0.0,0.11626,304089.2,0.0,0.41261,0.0,476.4,0.33298,0.0,1063.1,0.93489,0.4,2.2,1.00E+00,1.00E+00,1.00E+00,2.51E+08,1.66E+08,8.12E+08,1.33E+09,1.00E+00,2.35E+08,1.00E+00,1.16E+08,2.41E+08
U5M316,U5M316_ECOLI RNA polymerase sigma factor FliA OS=Escherichia coli C321.deltaA GN=fliA PE=3 SV=1,1,1,0.00000,0.0,22614526.0,0.18126,0.0,35301.2,0.09659,0.0,108249.9,0.37390,640.6,0.0,0.37390,208.9,0.0,0.90014,0.3,3.1,9.46E+06,3.85E+07,3.18E+07,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.63E+08,9.12E+06,1.00E+00,1.00E+00
U5LWH1,U5LWH1_ECOLI ATP-dependent DNA helicase OS=Escherichia coli C321.deltaA GN=dinG PE=4 SV=1,1,1,0.00000,110800624,0.0,1.00000,1.0,1.0,1.00000,1.0,1.0,0.00000,0.0,110800627.0,0.00000,0.0,110800627.0,1.00000,1.0,1.0,1.00E+00,1.00E+00,1.00E+00,9.59E+07,5.04E+07,2.81E+08,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
